category,name,url,notes
federal,DOE Program Requirements & Application Instructions (2024-12),https://www.energy.gov/sites/default/files/2024-12/program-requirements-and-application-instructions_121624.pdf.pdf,Core federal rulebook for HOMES & HEAR
federal,DOE Program Requirements & Application Instructions (2023-07),https://www.energy.gov/sites/default/files/2023-07/Home_Energy_Rebates_Program_Requirements_and_Application_Instructions.pdf,"Earlier version, still useful for background"
federal,DOE IRA Home Energy Rebate Programs Webinar (text),https://www.energy.gov/scep/ira-home-energy-rebate-programs-informational-webinar-text-version,High-level overview and design options
federal,CRS Home Energy Rebates from the IRA,https://www.congress.gov/crs-product/R47698,Legislative background & program overview
federal-guidance,Energy Innovation – Program Design Guidance for SEOs,https://energyinnovation.org/wp-content/uploads/IRA-Home-Energy-Rebates-Program-Design-Guidance-for-SEOs-1-2.pdf,Design guidance for state energy offices
federal-guidance,RMI Home Electrification Rebate Implementation Guidance,https://rmi.org/wp-content/uploads/dlm_uploads/2023/02/home_electrification_rebate.pdf,Guidance for HEAR-style programs
federal-guidance,ENERGY STAR – Home Energy Rebates in Action (SEO Panel),https://www.energystar.gov/sites/default/files/2024-10/SEO%20Panel_Merged%20Slides%20508.pdf,Examples from early state implementers
oregon,ODOE – Home Energy Rebate Programs Landing Page,https://www.oregon.gov/energy/Incentives/Pages/home-energy-rebates.aspx,Primary Oregon public overview for HOMES & HEAR
oregon,ODOE – Incentives Overview (Home Energy Rebates section),https://www.oregon.gov/energy/incentives/Pages/default.aspx,High-level incentives list including HOMES/HEAR
oregon,ODOE – Federal Home Energy Rebate Programs FAQ,https://www.oregon.gov/energy/energy-oregon/Documents/Federal-Home-Energy-Rebates-FAQ.pdf,"Oregon-specific FAQ, updated 2025-11-05"
oregon,ODOE – HOMES Narrative (2024-03),https://www.oregon.gov/energy/energy-oregon/Documents/2024-03-ODOE-HOMES-Narrative.pdf,State application narrative for HOMES
oregon,ODOE – HOMES Narrative Blueprint Responses,https://www.oregon.gov/energy/Incentives/Documents/HOMES-Narrative-Document-Blueprint-Responses.pdf,Detailed responses by section for HOMES
oregon,ODOE – HEAR Narrative (2024-03),https://www.oregon.gov/energy/energy-oregon/Documents/2024-03-ODOE-HEAR-Narrative.pdf,State application narrative for HEAR
oregon,Oregon Legislature – Home Energy Rebate Programs Background,https://olis.oregonlegislature.gov/liz/2023I1/Downloads/CommitteeMeetingDocument/285472,Legislative briefing on funding allocations & design
oregon,Building Performance Association – Oregon Home Energy Rebate Programs,https://building-performance.org/education/resources/oregon-home-energy-rebate-programs/,Trade ally-facing summary of Oregon design
oregon,Energy Trust – Oregon to be among first to apply for new home energy rebates,https://blog.energytrust.org/oregon-to-be-among-first-to-apply-for-new-federal-home-energy-rebates/,Early program context and partnership description
oregon,Energy Trust – Oregon is another step closer to offering new energy rebates,https://blog.energytrust.org/oregon-is-another-step-closer-to-offering-new-energy-rebates-with-funding-award/,Update after DOE award
oregon,Earth Advantage – Selected as Oregon Home Energy Rebates Implementer,https://www.earthadvantage.org/news/earth-advantage-selected-to-serve-as-oregon-home-energy.html,Details for consumer-owned & Idaho Power territories
